gender,dob,Age,commune,created_at,department,education_level,university,current_employed,formal_sector_job,have_computer_home,internet_at_home,hear_AA_1,after_AA,quest_id,Commune_en,Commune_Id,Departement,Study Domain,Payment Method
female,1996-09-29,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Finding a job/internship,905ddcf2-ce95-11eb-9a92-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1996-11-24,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e4cf5-ce95-11eb-96a9-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1996-11-24,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e4cf5-ce95-11eb-96a9-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
male,1997-07-20,23.0,HT0111,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,WhatsApp,Mentorship,905e73fd-ce95-11eb-a7b0-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1996-03-12,25.0,HT0111,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e9b27-ce95-11eb-9c37-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
female,1988-04-30,33.0,HT0111,2021-02-16,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ec-ce95-11eb-8136-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Credit Card/Paypal
female,1996-10-09,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ed-ce95-11eb-829c-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Moncash
female,1991-03-02,30.0,HT0111,2021-02-17,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,ESIH,Mentorship,905ef688-ce95-11eb-9b57-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
female,1997-10-07,23.0,HT0111,2021-02-17,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,905f0fbd-ce95-11eb-b153-7c67a234f601,Port-au-Prince,HT0111,West,Law,Unpaid
female,1994-12-30,26.0,HT0111,2021-02-17,HT01,Other,unknown,Yes,Yes,Yes,Yes,Facebook,Finding a job/internship,905f36c8-ce95-11eb-bef0-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1992-09-05,28.0,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,Friend,Training to start my own company,905f36c9-ce95-11eb-aa33-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
female,1977-03-08,44.0,HT0111,2021-02-17,HT01,unknown,unknown,Yes,Yes,Yes,Yes,Facebook,Mentorship,905f36ca-ce95-11eb-9411-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
female,1977-03-08,44.0,HT0111,2021-02-17,HT01,unknown,unknown,Yes,Yes,Yes,Yes,Facebook,Mentorship,905f36ca-ce95-11eb-9411-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1992-03-26,29.0,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,Facebook,Improving my data analysis skills,905f5dbf-ce95-11eb-a1fb-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1994-01-11,27.0,HT0111,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,WhatsApp,Switching careers,905f5dc0-ce95-11eb-8056-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
female,1999-01-19,22.0,HT0111,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,905f5dc1-ce95-11eb-bfa7-7c67a234f601,Port-au-Prince,HT0111,West,Economics,Credit Card/Paypal
male,1987-09-10,33.0,HT0111,2021-02-17,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Finding a job/internship,905f84ab-ce95-11eb-8886-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
female,1995-02-05,26.0,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,905f84ac-ce95-11eb-bf5f-7c67a234f601,Port-au-Prince,HT0111,West,Economics,Unpaid
male,1992-05-02,29.0,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,905fab9d-ce95-11eb-a1ed-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
female,1995-09-21,25.0,HT0111,2021-02-18,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,Ayiti Analytics Website,Switching careers,905fab9e-ce95-11eb-a53d-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1997-07-20,23.0,HT0111,2021-02-18,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),Yes,Yes,Yes,Yes,WhatsApp,Finding a job/internship,905fd65b-ce95-11eb-b835-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1995-05-12,26.0,HT0111,2021-02-18,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,905ff97f-ce95-11eb-a994-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1993-12-25,27.0,HT0111,2021-02-19,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,905ff980-ce95-11eb-98b7-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
female,1998-09-12,22.0,HT0111,2021-02-19,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Training to start my own company,90602078-ce95-11eb-bc1d-7c67a234f601,Port-au-Prince,HT0111,West,Medicine,Unpaid
male,2021-02-28,26.76950354609929,HT0111,2021-02-19,HT01,High School (16 years),unknown,Yes,Yes,Yes,Yes,WhatsApp,Mentorship,906036c8-ce95-11eb-8c78-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1991-10-26,29.0,HT0111,2021-02-19,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,No,WhatsApp,Finding a job/internship,9060477c-ce95-11eb-ace3-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Credit Card/Paypal
male,1986-08-27,34.0,HT0111,2021-02-19,HT01,Other,unknown,Yes,Yes,Yes,Yes,WhatsApp,Switching careers,9060477d-ce95-11eb-ab2e-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1977-02-13,44.0,HT0111,2021-02-21,HT03,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Finding a job/internship,9060617e-ce95-11eb-bd26-7c67a234f601,,,,Computer Science,Unpaid
male,1986-08-23,34.0,HT0111,2021-02-21,HT01,Masters,other,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906073cb-ce95-11eb-acb0-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
male,1986-08-23,34.0,HT0111,2021-02-21,HT01,Masters,other,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906073cb-ce95-11eb-acb0-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1989-01-13,32.0,HT0111,2021-02-22,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,906073cc-ce95-11eb-aac4-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
female,2000-04-14,21.0,HT0111,2021-02-22,HT01,Other,unknown,No,unknown,Yes,No,Friend,Finding a job/internship,90609554-ce95-11eb-a24a-7c67a234f601,Port-au-Prince,HT0111,West,other,Moncash
female,1998-12-31,22.0,HT0111,2021-02-22,HT01,Other,unknown,No,unknown,Yes,No,Friend,Finding a job/internship,90609555-ce95-11eb-b61a-7c67a234f601,Port-au-Prince,HT0111,West,Law,Unpaid
female,1995-05-14,26.0,HT0111,2021-02-23,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,Bootcamp Alumni,Finding a job/internship,9060c2e6-ce95-11eb-b8b8-7c67a234f601,Port-au-Prince,HT0111,West,other,Moncash
female,1996-04-10,25.0,HT0111,2021-02-23,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,WhatsApp,Switching careers,9060cbb2-ce95-11eb-bac1-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
male,,26.0,HT0111,2021-02-23,HT01,Other,unknown,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,9060e347-ce95-11eb-abbb-7c67a234f601,Port-au-Prince,HT0111,West,Medicine,Moncash
female,1997-10-01,23.0,HT0111,2021-02-23,HT01,Other,unknown,Yes,Yes,Yes,No,Bootcamp Alumni,Switching careers,90610a3c-ce95-11eb-a50e-7c67a234f601,Port-au-Prince,HT0111,West,other,Moncash
female,1998-04-22,23.0,HT0111,2021-02-24,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,90611cd3-ce95-11eb-bebc-7c67a234f601,Port-au-Prince,HT0111,West,Management,Moncash
female,1998-04-22,23.0,HT0111,2021-02-24,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,90611cd3-ce95-11eb-bebc-7c67a234f601,Port-au-Prince,HT0111,West,Law,Moncash
male,1996-10-16,24.0,HT0111,2021-02-24,HT01,Bachelors (bacc +4),other,No,unknown,No,No,other,Improving my data analysis skills,9061312a-ce95-11eb-ba28-7c67a234f601,Port-au-Prince,HT0111,West,Management,Credit Card/Paypal
male,1996-01-03,25.0,HT0111,2021-02-25,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90614c17-ce95-11eb-b604-7c67a234f601,Port-au-Prince,HT0111,West,Medicine,Moncash
male,1994-11-11,26.0,HT0111,2021-02-25,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9061581f-ce95-11eb-af12-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Moncash
male,1994-11-11,26.0,HT0111,2021-02-25,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9061581f-ce95-11eb-af12-7c67a234f601,Port-au-Prince,HT0111,West,other,Moncash
male,1989-03-09,32.0,HT0111,2021-02-25,HT01,Other,unknown,Yes,Yes,Yes,Yes,Facebook,Switching careers,90615820-ce95-11eb-9088-7c67a234f601,Port-au-Prince,HT0111,West,Accounting,Unpaid
male,1989-03-09,32.0,HT0111,2021-02-25,HT01,Other,unknown,Yes,Yes,Yes,Yes,Facebook,Switching careers,90615820-ce95-11eb-9088-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1996-09-14,24.0,HT0111,2021-02-28,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906178f8-ce95-11eb-95e9-7c67a234f601,Port-au-Prince,HT0111,West,Statistics,Unpaid
male,1996-09-14,24.0,HT0111,2021-02-28,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906178f8-ce95-11eb-95e9-7c67a234f601,Port-au-Prince,HT0111,West,Economics,Unpaid
male,1987-12-13,33.0,HT0111,2021-03-02,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,Facebook,Improving my data analysis skills,90617f12-ce95-11eb-a3c8-7c67a234f601,Port-au-Prince,HT0111,West,Accounting,Credit Card/Paypal
male,1996-10-13,24.0,HT0111,2021-03-02,HT01,Other,unknown,Yes,Yes,Yes,Yes,WhatsApp,other,90617f13-ce95-11eb-bc4e-7c67a234f601,Port-au-Prince,HT0111,West,Law,Moncash
male,2001-10-12,19.0,HT0111,2021-03-03,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,other,Finding a job/internship,9061a61c-ce95-11eb-ba30-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
female,1996-01-11,25.0,HT0111,2021-03-03,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),No,unknown,Yes,Yes,other,Mentorship,9061a61d-ce95-11eb-a939-7c67a234f601,Port-au-Prince,HT0111,West,Statistics,Moncash
female,1996-01-11,25.0,HT0111,2021-03-03,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),No,unknown,Yes,Yes,other,Mentorship,9061a61d-ce95-11eb-a939-7c67a234f601,Port-au-Prince,HT0111,West,Economics,Moncash
male,1996-04-17,25.0,HT0111,2021-03-03,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,9061d752-ce95-11eb-afc7-7c67a234f601,Port-au-Prince,HT0111,West,Economics,Unpaid
male,2000-07-31,20.0,HT0111,2021-03-04,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9061d753-ce95-11eb-967a-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Moncash
male,2000-07-31,20.0,HT0111,2021-03-04,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9061d753-ce95-11eb-967a-7c67a234f601,Port-au-Prince,HT0111,West,other,Moncash
male,1995-05-31,26.0,HT0111,2021-03-08,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,LinkedIn,Finding a job/internship,9061d754-ce95-11eb-a086-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1995-05-12,26.0,HT0111,2021-03-09,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,9061f3ee-ce95-11eb-a9d9-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1997-09-12,23.0,HT0111,2021-03-10,HT01,Bachelors (bacc +4),unknown,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,90620452-ce95-11eb-9ec8-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1993-10-19,27.0,HT0111,2021-03-10,HT01,unknown,unknown,Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,90620453-ce95-11eb-bb57-7c67a234f601,Port-au-Prince,HT0111,West,Electrical Engineering,Unpaid
male,1993-10-19,27.0,HT0111,2021-03-10,HT01,unknown,unknown,Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,90620453-ce95-11eb-bb57-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1993-10-19,27.0,HT0111,2021-03-10,HT01,unknown,unknown,Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,90620453-ce95-11eb-bb57-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
male,1986-04-14,35.0,HT0111,2021-03-10,HT01,Masters,Université INUKA,No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,90621ae1-ce95-11eb-8a7d-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1990-03-08,31.0,HT0111,2021-03-10,HT01,Other,unknown,No,unknown,Yes,No,LinkedIn,Improving my data analysis skills,90622d22-ce95-11eb-a50b-7c67a234f601,Port-au-Prince,HT0111,West,Electrical Engineering,Unpaid
male,1990-03-08,31.0,HT0111,2021-03-10,HT01,Other,unknown,No,unknown,Yes,No,LinkedIn,Improving my data analysis skills,90622d22-ce95-11eb-a50b-7c67a234f601,Port-au-Prince,HT0111,West,Economics,Unpaid
male,1996-05-05,25.0,HT0111,2021-03-11,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,LinkedIn,Improving my data analysis skills,906241d4-ce95-11eb-a1eb-7c67a234f601,Port-au-Prince,HT0111,West,Accounting,Unpaid
male,,26.0,HT0111,2021-03-14,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,other,906241d5-ce95-11eb-9850-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Moncash
male,,26.0,HT0111,2021-03-14,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,other,906241d5-ce95-11eb-9850-7c67a234f601,Port-au-Prince,HT0111,West,Management,Moncash
male,1992-03-22,29.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,Bootcamp Alumni,unknown,90625b11-ce95-11eb-b351-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
male,1996-07-09,24.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90626928-ce95-11eb-8f5e-7c67a234f601,Delmas,HT0112,West,Economics,Unpaid
male,1996-07-09,24.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90626928-ce95-11eb-8f5e-7c67a234f601,Delmas,HT0112,West,Management,Unpaid
male,1994-07-28,26.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,No,Friend,Training to start my own company,90626929-ce95-11eb-86fe-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
male,1997-06-25,23.0,HT0112,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,No,Friend,Improving my data analysis skills,9062692a-ce95-11eb-8ab8-7c67a234f601,Delmas,HT0112,West,Management,Moncash
male,1995-10-30,25.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,90628a02-ce95-11eb-9291-7c67a234f601,Delmas,HT0112,West,Management,Moncash
male,1995-10-30,25.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,90628a02-ce95-11eb-9291-7c67a234f601,Delmas,HT0112,West,Economics,Moncash
female,1998-08-23,22.0,HT0112,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90628fbe-ce95-11eb-bb9e-7c67a234f601,Delmas,HT0112,West,other,Unpaid
male,1997-05-17,24.0,HT0112,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,90628fbf-ce95-11eb-819c-7c67a234f601,Delmas,HT0112,West,Statistics,Moncash
male,1997-05-17,24.0,HT0112,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,90628fbf-ce95-11eb-819c-7c67a234f601,Delmas,HT0112,West,Economics,Moncash
male,1998-12-25,22.0,HT0112,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90628fc0-ce95-11eb-8dae-7c67a234f601,Delmas,HT0112,West,Computer Science,Moncash
male,1995-01-10,26.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9062b753-ce95-11eb-8959-7c67a234f601,Delmas,HT0112,West,other,Unpaid
male,1996-03-31,25.0,HT0112,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Instagram,Finding a job/internship,9062b754-ce95-11eb-b31e-7c67a234f601,Delmas,HT0112,West,other,Credit Card/Paypal
female,1993-09-20,27.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,No,Yes,WhatsApp,Improving my data analysis skills,9062b755-ce95-11eb-85a2-7c67a234f601,Delmas,HT0112,West,Management,Moncash
male,1983-10-15,37.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),Yes,Yes,Yes,Yes,WhatsApp,Finding a job/internship,9062ddb1-ce95-11eb-bd2f-7c67a234f601,Delmas,HT0112,West,Management,Unpaid
male,1995-09-07,25.0,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,No,WhatsApp,Finding a job/internship,9062ddb2-ce95-11eb-89d0-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
female,1999-02-19,22.0,HT0112,2021-02-17,HT01,Bachelors (bacc +4),unknown,No,unknown,Yes,Yes,Instagram,Training to start my own company,9062ddb3-ce95-11eb-acc8-7c67a234f601,Delmas,HT0112,West,Management,Unpaid
female,1998-09-20,22.0,HT0112,2021-02-17,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,906304a6-ce95-11eb-b475-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
male,1995-09-04,25.0,HT0112,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Mentorship,906304a7-ce95-11eb-b805-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
male,1998-10-28,22.0,HT0112,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,LinkedIn,Training to start my own company,90632b9f-ce95-11eb-bb7f-7c67a234f601,Delmas,HT0112,West,other,Unpaid
male,1996-06-22,24.0,HT0112,2021-02-17,HT01,High School (16 years),unknown,Yes,Yes,Yes,Yes,WhatsApp,Finding a job/internship,90632ba0-ce95-11eb-b7c2-7c67a234f601,Delmas,HT0112,West,Law,Unpaid
male,1996-01-06,25.0,HT0112,2021-02-17,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9063799a-ce95-11eb-b32b-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
male,1996-01-06,25.0,HT0112,2021-02-17,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9063799a-ce95-11eb-b32b-7c67a234f601,Delmas,HT0112,West,Management,Unpaid
male,1983-11-16,37.0,HT0112,2021-02-17,HT01,Bachelors (bacc +4),Université INUKA,Yes,Yes,Yes,Yes,Friend,Improving my data analysis skills,9063a260-ce95-11eb-87e8-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
male,1995-12-15,25.0,HT0112,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,9063c77d-ce95-11eb-a120-7c67a234f601,Delmas,HT0112,West,Accounting,Unpaid
male,1987-12-28,33.0,HT0112,2021-02-17,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,9063c77e-ce95-11eb-81b3-7c67a234f601,Delmas,HT0112,West,other,Unpaid
male,1997-01-30,24.0,HT0112,2021-02-17,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,9063ee76-ce95-11eb-a84b-7c67a234f601,Delmas,HT0112,West,Computer Science,Unpaid
male,1999-03-12,22.0,HT0112,2021-02-18,HT01,High School (16 years),unknown,unknown,unknown,No,Yes,Instagram,Training to start my own company,9063ee77-ce95-11eb-9098-7c67a234f601,Delmas,HT0112,West,other,Unpaid
